OID_,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,lon,lat
91,Porter And Chester Institute,Canton,5 Campanelli Circle,Canton,2021,1400,CANTON,(781) 830-0350,13017406,PRI,"< 2-year, Private for-profit",Technical Institute,C,One but less than two years certificate, ,Suburb: Large,No,-71.0730133,42.1661377
92,FINE Mortuary College, ,150 Kerry Place,Norwood,2090, ,NORWOOD,(781) 461-9080,436599,PRI,"2-year, Private for-profit",Private Occupational Program,A,Associate's degree,Mortuary Science,Suburb: Large,No,-71.1917343,42.1809959
93,Martin Electrical School, ,130 Kerry Place,Norwood,2062, ,NORWOOD,(781) 769-2376, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Electrician,Suburb: Small,No,-71.1930618,42.1811676
94,Blue Hills Regional Technical School Practical Nursing Program, ,800 Randolph Street,Canton,2021, ,CANTON,(781) 828-5800,243799,PUB,"< 2-year, Public",Medical Program,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,-71.1041412,42.1821327
95,Massasoit Community College,Canton,900 Randolph Street,Canton,2021,1372,CANTON,(508) 588-9100,166823,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.1006699,42.1836357
96,Porter And Chester Institute,Chicopee,1984 Westover Road,Chicopee,1022,2480,CHICOPEE,(413) 459-9760, ,PRI,"< 2-year, Private for-profit",Technical Institute,C,One but less than two years certificate, ,Suburb: Large,No,-72.5617599,42.1858826
97,Peterson School,Westwood,350 University Avenue,Westwood,2090, ,WESTWOOD,(781) 320-3292, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Electric/Plumbing/Facilities,Suburb: Small,No,-71.1543198,42.1984406
98,Holyoke Community College, ,303 Homestead Avenue,Holyoke,1040, ,HOLYOKE,(413) 538-7000,166133,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-72.6518173,42.1949043
99,"Springfield College-Regional, Online, and Continuing Education", ,263 Alden Street,Springfield,1109, ,SPRINGFIELD,(413) 748-3000,475273,PRI,"4-year, Private not-for-profit",Adult Education,"B, M",Bachelor's degree;Master's degree,Human Services,City: Midsize,No,-72.556694,42.1020355
100,Bentley University, ,175 Forest Street,Waltham,2452,4705,WALTHAM,(781) 891-2000,164739,PRI,"4-year, Private not-for-profit",Business School,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,Business,City: Small,Yes,-71.2201691,42.3888016
101,Toni & Guy Hairdressing Academy,Braintree,727A Granite Street,Braintree,2184, ,BRAINTREE,(781) 428-3099,434344,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,Cosmetology,Suburb: Midsize,No,-71.0239792,42.2073784
102,Bard College - Holyoke Microcollege, ,247 Cabot Street,Holyoke,1040,3927,HOLYOKE,(413) 532-2900,18908801,PRI,"2-year, Private not-for-profit",Adult Education,A,Associate's degree, ,Suburb: Large,No,-72.6176758,42.2060432
103,Bard College at Simon's Rock, ,84 Alford Road,Great Barrington,1230,1990,GREAT BARRINGTON,(413) 528-0771,167792,PRI,"4-year, primarily associate's, Private not-for-profit",Liberal Arts College,"A, B",Associate's degree;Bachelor's degree, ,Town: Distant,Yes,-73.380249,42.2087402
104,College of the Holy Cross, ,1 College Street,Worcester,1610,2395,WORCESTER,(508) 793-2011,166124,PRI,"4-year, Private not-for-profit",Liberal Arts College,B,Bachelor's degree, ,City: Midsize,Yes,-71.8082657,42.2375412
105,Curry College, ,1071 Blue Hill Avenue,Milton,2186, ,MILTON,(617) 333-2210,165529,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M, PMC",Bachelor's degree;Master's degree;Post-master's certificate,Medical Program,Suburb: Large,Yes,-71.1147308,42.2408333
106,Massachusetts Bay Community College,Ashland - Auto Tech Center,250 Eliot Street,Ashland,1721,2389,ASHLAND,(781) 239-3030,166647,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.4360352,42.2420998
107,Tufts University,School of Veterinary Medicine,200 Westboro Road,North Grafton,1536, ,GRAFTON,(508) 839-7920,168148,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,Suburb: Large,Yes,-71.6770172,42.246212
108,Massachusetts School of Barbering, ,58 General James C. McConville Way,Quincy,2169, ,QUINCY,(617) 770-4444,166805,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,Barbering/Barber,Suburb: Large,No,-71.0017548,42.2476387
109,Boston College,Main Campus,140 Commonwealth Avenue,Chestnut Hill,2467, ,NEWTON,(617) 552-8000,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,-71.1687546,42.3350143
110,Harvard University,School of Public Health,677 Huntington Ave,Boston,2115, ,BOSTON,(617) 432-1031,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.102951,42.3353043
111,Harvard University,Medical School,25 Shattuck Street,Boston,2115,6092,BOSTON,(617) 432-1000,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.1041107,42.3355675
112,Boston University Chobanian & Avedisian School of Medicine,Medical Campus,72 E Concord Street,Boston,2118, ,BOSTON,(617) 638-5300,164988,PRI,"4-year, Private not-for-profit",Medical School,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree, ,City: Large,Yes,-71.0724564,42.3363152
113,Massachusetts College of Pharmacy and Health Science,Boston,179 Longwood Avenue,Boston,2115, ,BOSTON,(617) 879-5964,166656,PRI,"4-year, Private not-for-profit",Medical School,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degre,Pharmacy/Health Science,City: Large,Yes,-71.10112,42.3366814
114,Massachusetts College of Art and Design, ,621 Huntington Avenue,Boston,2115, ,BOSTON,(617) 879-7000,166674,PUB,"4-year, Public",State University,"C, B, PBC, M",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree,Visual Art,City: Large,Yes,-71.0987625,42.3367882
115,Wentworth Institute of Technology, ,550 Huntington Avenue,Boston,2115, ,BOSTON,(617) 442-9010,168227,PRI,"4-year, Private not-for-profit",Technical College,"C, A, B, M",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,Engineering,City: Large,Yes,-71.0952454,42.3368645
116,School of the Museum of Fine Arts, ,230 The Fenway,Boston,2115, ,BOSTON,(617) 267-6100,168148,PRI,"4-year, Private not-for-profit",Visual Arts College,"B, M",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Visual Arts,City: Large,No,-71.0965958,42.3385735
117,Boston Graduate School of Psychoanalysis Inc, ,1581 Beacon Street,Brookline,2446, ,BROOKLINE,(617) 277-3915,164915,PRI,"4-year, Private not-for-profit",Graduate Medical Program,"M, PMC, D",Master's degree;Post-master's certificate;Doctor's degree - professional practice;Doctor's degree - other,Psychoanalysis,Suburb: Large,No,-71.1330948,42.3391762
118,Pope St John XXIII National Seminary, ,558 South Avenue,Weston,2493, ,WESTON,(781) 899-5500,167464,PRI,"4-year, Private not-for-profit",Divinity School,M,Master's degree,Catholic Seminary,Suburb: Large,Yes,-71.3109818,42.3396111
119,Simmons University,Main Campus,300 The Fenway,Boston,2115,5898,BOSTON,(617) 521-2000,167783,PRI,"4-year, Private not-for-profit","Women's Liberal Arts College, Coed Graduate School","B, PBC, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Large,Yes,-71.0998535,42.3393364
120,Northeastern University Professional Programs,Professional Advancement,360 Huntington Avenue,Boston,2115, ,BOSTON,(617) 373-2000,482705,PRI,"4-year, Private not-for-profit",Private University,"C, A, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice;Doctor's degree - other, ,City: Large,Yes,-71.0884171,42.3393555
121,Northeastern University,Main Campus,360 Huntington Avenue,Boston,2115, ,BOSTON,(617) 373-2000,167358,PRI,"4-year, Private not-for-profit",Research University,"B, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other, ,City: Large,Yes,-71.0887451,42.3399506
122,The New England Conservatory of Music, ,290 Huntington Avenue,Boston,2115, ,BOSTON,(617) 585-1100,167057,PRI,"4-year, Private not-for-profit",Performing Arts College,"C, B, PBC, M, D",Less than one year certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,Music,City: Large,Yes,-71.0863953,42.3409576
123,Emmanuel College, ,400 The Fenway,Boston,2115, ,BOSTON,(617) 735-9715,165671,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, PBC, M, PMC",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate, ,City: Large,Yes,-71.102417,42.3411331
124,Ali May Academy, ,1459 Hancock Street,Quincy,2169, ,QUINCY,(617) 786-8900, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,Suburb: Large,No,-71.0024338,42.2485619
125,Clark University, ,950 Main Street,Worcester,1610,1477,WORCESTER,(508) 793-7711,165334,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship, ,City: Midsize,Yes,-71.8239288,42.2513008
126,Quincy College, ,1250 Hancock Street,Quincy,2169, ,QUINCY,(800) 698-1700,167525,PUB,"4-year, primarily associate's, Public",Municipally Affiliated College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree, ,Suburb: Large,No,-71.0034866,42.2524681
127,JK Nails Academy, ,68 Millbury Street,Worcester,1610, ,WORCESTER,(508) 753-6500, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,City: Midsize,No,-71.798912,42.2534294
128,Boston Baptist College, ,950 Metropolitan Avenue,Boston,2136, ,BOSTON,(617) 364-3510,164614,PRI,"4-year, Private not-for-profit",Divinity School,"C, A, B",One but less than two years certificate;Associate's degree;Bachelor's degree,Biblical Studies,City: Large,Yes,-71.1100616,42.2538147
129,Empire Beauty School,Malden,347 Pleasant Street,Malden,2148, ,MALDEN,(781) 397-7400,407179,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-71.076622,42.4274483
130,New England Hair Academy, ,110 Florence Street,Malden,2148, ,MALDEN,(781) 324-6799,373678,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-71.0683899,42.4289665
131,National Aviation Academy of New England,Concord,130 Baker Ave Extension,Concord,1742, ,CONCORD,(781) 274-8448,165635,PRI,"2-year, Private for-profit",Technical Institute,C,Two but less than 4 years certificate,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Suburb: Large,No,-71.3870697,42.4622192
132,North Shore Community College,Lynn Campus,300 Broad Street,Lynn,1901, ,LYNN,(781) 593-6722,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.9441071,42.4607162
133,Mildred Elley,Pittsfield,100 West Street,Pittsfield,1201, ,PITTSFIELD,(413) 499-8618,425986,PRI,"< 2-year, Private for-profit",Technical Institute,C,One but less than two years certificate, ,City: Small,No,-73.2564774,42.4493217
134,Berkshire Community College, ,1350 West Street,Pittsfield,1201,5786,PITTSFIELD,(413) 499-4660,164775,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Rural: Fringe,No,-73.3152084,42.4597511
135,Northeastern University,Burlington,145 South Bedford Street,Burlington,1803, ,BURLINGTON,(781) 238-8400,167358,PRI,"4-year, Private not-for-profit",Research University,"B, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other, ,City: Large,Yes,-71.1906738,42.4787827
136,Peterson School,Woburn,25 Montvale Road,Woburn,1801, ,WOBURN,(781) 938-5656, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Electric/Plumbing/Facilities,Suburb: Large,No,-71.1506424,42.4790764
137,Gould Construction Institute, ,"100 Unicorn Park Drive, Suite 2",Woburn,1801, ,WOBURN,(781) 270-9990, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Construction,Suburb: Large,No,-71.1143036,42.4810486
138,Simmons University,Residence Campus,321 Brookline Avenue,Boston,2215, ,BOSTON,(617) 521-2000,167783,PRI,"4-year, Private not-for-profit","Women's Liberal Arts College, Coed Graduate School","B, PBC, M, PMC, D",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Large,Yes,-71.10569,42.341259
139,Boston College,Newton Campus,885 Centre Street,Newton,2459, ,NEWTON,(617) 552-8000,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,-71.1939545,42.3418121
140,Lasell University, ,1844 Commonwealth Avenue,Newton,2466, ,NEWTON,(617) 243-2000,166391,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M",Bachelor's degree;Postbaccalaureate certificate;Master's degree,Business Program,City: Small,Yes,-71.2416458,42.3430405
141,Boston College,Brighton Campus,129 Lake Street,Brighton,2135, ,BOSTON,(617) 552-8000,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,-71.16259,42.343956
142,Saint John's Seminary, ,127 Lake Street,Brighton,2135, ,BOSTON,(617) 254-2610,167677,PRI,"4-year, Private not-for-profit",Divinity School,"B, M",Bachelor's degree;Master's degree,Catholic Seminary,City: Large,Yes,-71.162674,42.3443336
143,Benjamin Franklin Cummings Institute of Technology, ,41 Berkeley Street,Boston,2116, ,BOSTON,(617) 423-4630,165884,PRI,"4-year, primarily associate's, Private not-for-profit",Technical College,"C, A, B",Less than one year certificate;Associate's degree;Bachelor's degree, ,City: Large,No,-71.0701294,42.3459854
144,The Boston Conservatory at Berklee, ,8 The Fenway,Boston,2215, ,BOSTON,(617) 536-6340,164748,PRI,"4-year, Private not-for-profit",Performing Arts College,"B, M",One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Music,City: Large,Yes,-71.090004,42.3461952
145,Berklee College of Music, ,1140 Boylston Street,Boston,2215, ,BOSTON,(617) 266-1400,164748,PRI,"4-year, Private not-for-profit",Performing Arts College,"C, B, PBC, M, PMC",One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Music,City: Large,Yes,-71.0893784,42.3465652
146,Boston Architectural College, ,320 Newbury Street,Boston,2115, ,BOSTON,(617) 262-5000,164872,PRI,"4-year, Private not-for-profit",Private College,"C, B, M",Less than one year certificate;Bachelor's degree;Master's degree,Architecture,City: Large,No,-71.0857773,42.3484802
147,Boston University,Charles River Campus,1 Silber Way,Boston,2215, ,BOSTON,(617) 353-2000,164988,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree, ,City: Large,Yes,-71.099678,42.3495941
148,Tufts University,Boston Campus,145 Harrison Avenue,Boston,2111, ,BOSTON,(617) 636-7000,168148,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,Suburb: Large,Yes,-71.0623703,42.3501549
149,Regis College, ,235 Wellesley Street,Weston,2493,1571,WESTON,(781) 768-7000,167598,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice, ,Suburb: Large,Yes,-71.3105545,42.3512497
150,Peterson School,Worcester,705 Plantation Street,Worcester,1605, ,WORCESTER,(774) 823-3047, ,PRI,"< 2-year, Private for-profit",Private Occupational Program,C, ,Electric/Plumbing/Facilities,City: Midsize,No,-71.7632523,42.2993774
151,New England Law Boston, ,154 Stuart Street,Boston,2116, ,BOSTON,(617) 451-0010,167215,PRI,"4-year, Private not-for-profit",Law School,D,Doctor's degree - professional practice,Law,City: Large,No,-71.0663986,42.3508301
152,New England College of Optometry, ,424 Beacon Street,Boston,2115, ,BOSTON,(617) 266-2030,167093,PRI,"4-year, Private not-for-profit",Graduate Medical Program,"M, PMC, D",Master's degree;Post-master's certificate;Doctor's degree - professional practice,Optometry,City: Large,No,-71.0868073,42.3518486
153,Emerson College, ,120 Boylston Street,Boston,2116,4624,BOSTON,(617) 824-8500,165662,PRI,"4-year, Private not-for-profit",Private College,"B, M",Bachelor's degree;Master's degree,"Communications, Performing Arts",City: Large,Yes,-71.0652771,42.3519554
154,Urban College of Boston, ,2 Boylston Street,Boston,2116, ,BOSTON,(617) 292-4723,429128,PRI,"2-year, Private not-for-profit",Adult Education,"C, A",Less than one year certificate;Associate's degree, ,City: Large,No,-71.0641861,42.3528976
155,Alexander Academy, ,55 Massachusetts Avenue,Lunenburg,1462, ,LUNENBURG,(978) 345-0011,476735,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,Cosmetology/Barbering,Suburb: Midsize,No,-71.7692108,42.587738
156,Fitchburg State University, ,160 Pearl Street,Fitchburg,1420,2697,FITCHBURG,(978) 345-2151,165820,PUB,"4-year, Public",State University,"C, B, PBC, M, PMC",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Education,Suburb: Midsize,Yes,-71.7884369,42.5902328
157,North Shore Community College,Danvers,1 Ferncroft Road,Danvers,1923, ,DANVERS,(978) 762-4000,167312,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.9687119,42.5900688
158,Gordon College, ,255 Grapevine Road,Wenham,1984, ,WENHAM,(978) 927-2300,165936,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M, PMC",Bachelor's degree;Master's degree;Post-master's certificate, ,Suburb: Large,Yes,-70.8214798,42.5904922
159,Mount Wachusett Community College, ,444 Green Street,Gardner,1440,1000,GARDNER,(978) 632-6600,166957,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Rural: Fringe,No,-71.9839249,42.5932999
160,"Electrology Institute of New England, Inc", ,1501 Main Street,Tewksbury,1876, ,TEWKSBURY,(800) 548-6339,410964,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,Electrolysis/Electrology and Electrolysis Technician,Suburb: Large,No,-71.2208328,42.597477
161,Greenfield Community College, ,1 College Drive,Greenfield,1301, ,GREENFIELD,(413) 775-1000,165981,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Town: Distant,No,-72.6310883,42.599556
162,Gordon-Conwell Theological Seminary,South Hamilton,130 Essex Street,South Hamilton,1982, ,HAMILTON,(978) 468-7111,165945,PRI,"4-year, Private not-for-profit",Divinity School,"PBC, M, D",Postbaccalaureate certificate;Master's degree;Doctor's degree,Evangelical Seminary,Suburb: Large,Yes,-70.8450623,42.6124573
163,Lowell Academy Hairstyling Institute, ,136 Central Street,Lowell,1852, ,LOWELL,(978) 453-3235,166498,PRI,"< 2-year, Private for-profit",Private Vocational School,C,One but less than two years certificate,"Cosmetology/Cosmetologist, General",Suburb: Large,No,-71.3081589,42.6436119
164,Middlesex Community College,Lowell,33 Kearney Square,Lowell,1852, ,LOWELL,(978) 656-3200,166887,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.3066025,42.6445999
165,Greater Lowell Technical School Adult Education, ,250 Pawtucket Boulevard,Tyngsboro,1879, ,TYNGSBOROUGH,(978) 441-4870,382416,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,"Practical Nursing, Vocational Nursing and Nursing Assistants, Other",Suburb: Large,No,-71.3858414,42.6539726
166,University of Massachusetts Lowell,Lowell,1 University Avenue,Lowell,1854,2894,LOWELL,(978) 934-4000,166513,PUB,"4-year, Public",University of Massachusetts,"C, A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,Suburb: Large,Yes,-71.3249435,42.6547699
167,David Nicholas International, ,18 Park Street,Andover,1810, ,ANDOVER,(617) 242-0177, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,Suburb: Large,No,-71.1396484,42.6566048
168,Merrimack College, ,315 Turnpike Street,North Andover,1845, ,NORTH ANDOVER,(978) 837-5000,166850,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M, PMC",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate,Business Program,Suburb: Large,Yes,-71.1243362,42.6687546
169,Charles H. McCann Technical School Adult Evening Classes, ,70 Hodges Cross Road,North Adams,1247, ,NORTH ADAMS,(413) 663-5383,419095,PUB,"< 2-year, Public",Adult Education,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Rural: Fringe,No,-73.1007233,42.6642876
170,Massachusetts School of Law, ,500 Federal Street Woodland Park,Andover,1810, ,ANDOVER,(978) 681-0800,369002,PRI,"4-year, Private not-for-profit",Law School,D,Doctor's degree - professional practice,Law,Suburb: Large,No,-71.1996231,42.6820984
171,Spa Tech Institute,North Andover,202 Sutton Street,North Andover,1845, ,NORTH ANDOVER,(978) 620-5250, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate,Aesthetician/Esthetician and Skin Care Specialist,Suburb: Large,No,-71.1318817,42.707592
172,VIP Beauty Academy, ,100 Water Street,Lawrence,1841, ,LAWRENCE,(978) 683-0407, ,PRI,"< 2-year, Private for-profit",Private Vocational School,C, ,Cosmetology,Suburb: Midsize,No,-71.1699371,42.7004051
173,Massachusetts College of Liberal Arts, ,375 Church Street,North Adams,1247,4100,NORTH ADAMS,(413) 662-5000,167288,PUB,"4-year, Public",State University,"C, B, PBC, M, PMC",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate, ,Town: Fringe,Yes,-73.1034546,42.6916046
174,Northern Essex Community College,Salisbury Satellite Location,80 Elm Street,Salisbury,1952, ,SALISBURY,(978) 556-3000,167376,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-70.873764,42.8426514
175,Northern Essex Community College,Lawrence,45 Franklin Street,Lawrence,1840, ,LAWRENCE,(978) 738-7000,167376,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.16745,42.7073021
176,Lawrence Training School, ,530 Broadway Street,Lawrence,1841, ,LAWRENCE,(978) 794-0449, ,PRI,"< 2-year, Private for-profit",Technical Institute,C, ,Cosmetology,Suburb: Midsize,No,-71.1768036,42.7148972
177,Williams College, ,880 Main Street,Williamstown,1267, ,WILLIAMSTOWN,(413) 597-2211,168342,PRI,"4-year, Private not-for-profit",Liberal Arts College,"B, M",Bachelor's degree;Master's degree, ,Town: Fringe,Yes,-73.2029419,42.7127647
178,New England Tractor Trailer Training School of Massachusetts,North Andover,1600 Osgood Street,North Andover,1845,1048,NORTH ANDOVER,(978) 965-2969,468963,PRI,"< 2-year, Private for-profit",Technical Institute,C,Less than one year certificate;One but less than two years certificate,Truck and Bus Driver/Commercial Vehicle Operator and Instructor,Suburb: Large,No,-71.1164246,42.7311211
179,Northpoint Bible College, ,320 South Main Street,Haverhill,1835, ,HAVERHILL,(978) 478-3400,217606,PRI,"4-year, Private not-for-profit",Divinity School,"C, A, B, M",One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Pentecostal Ministry,Suburb: Large,Yes,-71.0792847,42.7650909
180,Northern Essex Community College,Haverhill,100 Elliott Street,Haverhill,1830, ,HAVERHILL,(978) 556-3000,167376,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;One but less than two years certificate;Associate's degree, ,Suburb: Large,No,-71.0473709,42.7964706
181,Harvard University,Main Campus,8 Garden Street/Radcliffe Yard,Cambridge,2138, ,CAMBRIDGE,(617) 495-1000,166027,PRI,"4-year, Private not-for-profit",Liberal Arts College,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.1210403,42.3757858
182,Harvard University,Graduate School of Design,48 Quincy Street,Cambridge,2138, ,CAMBRIDGE,(617) 495-3880,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,-71.1139526,42.3758392
183,Bunker Hill Community College,Charlestown,250 New Rutherford Avenue,Boston,2129,2925,BOSTON,(617) 228-2000,165112,PUB,"2-year, Public",Community College,"C, A",Less than one year certificate;Associate's degree, ,City: Large,No,-71.0694427,42.3754768
